Дата,Хозяева(Х),Гости(Г),ГолыХ,ГолыГ,Результат,УдарыХ,УдарыГ,Удары по воротам Х,Удары по воротам Г,ФолыХ,ФолыГ,УгловыеХ,УгловыеГ,ЖКХ,ЖКГ,ККХ,ККГ,Победитель,Проигравший
Сезон 14/15,Sevilla,Valencia,1,1,D,10,11,3,1,23,8,3,3,4,2,0,1,Ничья,Ничья
Сезон 14/15,Celta,Getafe,3,1,H,20,12,8,3,19,15,4,4,4,1,0,0,Celta,Getafe
Сезон 14/15,Eibar,Sociedad,1,0,H,12,19,5,4,13,14,5,6,4,1,0,0,Eibar,Sociedad
Сезон 14/15,Levante,Villarreal,0,2,A,9,12,2,6,11,14,3,4,1,3,0,0,Villarreal,Levante
Сезон 14/15,Ath Bilbao,Levante,3,0,H,10,10,5,2,13,17,2,11,1,4,0,0,Ath Bilbao,Levante
Сезон 14/15,Ath Madrid,Eibar,2,1,H,15,8,6,2,12,18,5,5,3,0,0,0,Ath Madrid,Eibar
Сезон 14/15,Espanol,Sevilla,1,2,A,4,13,2,6,20,24,3,7,4,2,0,0,Sevilla,Espanol
Сезон 14/15,Sociedad,Real Madrid,4,2,H,13,19,5,5,18,12,8,6,1,2,0,0,Sociedad,Real Madrid
Сезон 14/15,Villarreal,Barcelona,0,1,A,9,20,0,8,12,9,3,10,0,2,0,0,Barcelona,Villarreal
Сезон 14/15,Barcelona,Ath Bilbao,2,0,H,15,3,8,2,12,11,5,1,1,1,0,0,Barcelona,Ath Bilbao
Сезон 14/15,Celta,Sociedad,2,2,D,13,20,6,5,13,15,5,8,1,5,0,0,Ничья,Ничья
Сезон 14/15,Real Madrid,Ath Madrid,1,2,A,21,9,4,2,12,12,4,4,4,7,0,0,Ath Madrid,Real Madrid
Сезон 14/15,Granada,Villarreal,0,0,D,9,14,3,3,12,13,9,5,3,2,0,0,Ничья,Ничья
Сезон 14/15,Sevilla,Getafe,2,0,H,12,7,4,1,10,25,8,5,2,6,0,0,Sevilla,Getafe
Сезон 14/15,Valencia,Espanol,3,1,H,11,8,6,3,15,13,7,8,1,1,0,0,Valencia,Espanol
Сезон 14/15,Ath Bilbao,Granada,0,1,A,13,3,5,2,14,20,7,5,2,4,0,0,Granada,Ath Bilbao
Сезон 14/15,Ath Madrid,Celta,2,2,D,18,5,8,5,9,17,6,3,1,3,0,0,Ничья,Ничья
Сезон 14/15,Levante,Barcelona,0,5,A,9,17,2,8,13,11,3,6,1,2,1,0,Barcelona,Levante
Сезон 14/15,Getafe,Valencia,0,3,A,12,7,5,3,25,17,6,1,6,1,0,1,Valencia,Getafe
Сезон 14/15,Eibar,Villarreal,1,1,D,7,15,3,4,14,17,2,10,4,4,0,0,Ничья,Ничья
Сезон 14/15,Granada,Levante,0,1,A,8,10,0,4,14,13,5,3,2,6,0,0,Levante,Granada
Сезон 14/15,Sevilla,Sociedad,1,0,H,19,8,8,1,13,7,11,4,6,2,0,0,Sevilla,Sociedad
Сезон 14/15,Espanol,Getafe,2,0,H,10,6,4,2,16,17,6,4,1,2,0,0,Espanol,Getafe
Сезон 14/15,Ath Bilbao,Eibar,0,0,D,13,10,1,2,13,22,6,2,5,6,0,0,Ничья,Ничья
Сезон 14/15,Ath Madrid,Sevilla,4,0,H,11,4,6,1,14,16,5,3,4,3,0,0,Ath Madrid,Sevilla
Сезон 14/15,Barcelona,Granada,6,0,H,19,9,12,1,11,11,8,1,1,3,0,0,Barcelona,Granada
Сезон 14/15,Villarreal,Real Madrid,0,2,A,19,11,5,3,7,10,7,6,0,1,0,0,Real Madrid,Villarreal
Сезон 14/15,Sociedad,Valencia,1,1,D,18,7,5,2,13,17,11,4,2,5,0,0,Ничья,Ничья
Сезон 14/15,Eibar,Levante,3,3,D,14,13,6,5,12,16,4,4,3,1,0,0,Ничья,Ничья
Сезон 14/15,Valencia,Ath Madrid,3,1,H,6,19,3,5,23,14,1,6,4,0,0,1,Valencia,Ath Madrid
Сезон 14/15,Celta,Villarreal,1,3,A,15,11,6,4,15,22,11,4,3,4,1,0,Villarreal,Celta
Сезон 14/15,Espanol,Sociedad,2,0,H,10,13,4,4,20,12,4,4,6,2,0,0,Espanol,Sociedad
Сезон 14/15,Real Madrid,Ath Bilbao,5,0,H,19,6,14,5,9,10,8,7,1,2,0,0,Real Madrid,Ath Bilbao
Сезон 14/15,Ath Bilbao,Celta,1,1,D,13,4,4,1,13,16,9,2,3,3,0,0,Ничья,Ничья
Сезон 14/15,Barcelona,Eibar,3,0,H,27,4,12,2,9,13,12,3,2,2,0,0,Barcelona,Eibar
Сезон 14/15,Levante,Real Madrid,0,5,A,11,21,1,11,13,8,6,3,4,0,0,0,Real Madrid,Levante
Сезон 14/15,Ath Madrid,Espanol,2,0,H,20,7,9,1,19,19,12,1,0,0,0,0,Ath Madrid,Espanol
Сезон 14/15,Sociedad,Getafe,1,2,A,13,16,2,7,10,13,8,4,1,3,0,0,Getafe,Sociedad
Сезон 14/15,Celta,Levante,3,0,H,13,4,4,0,14,16,7,0,0,3,0,0,Celta,Levante
Сезон 14/15,Eibar,Granada,1,1,D,7,8,3,3,14,14,7,8,3,4,0,0,Ничья,Ничья
Сезон 14/15,Real Madrid,Barcelona,3,1,H,18,16,6,5,11,10,3,9,2,4,0,0,Real Madrid,Barcelona
Сезон 14/15,Getafe,Ath Madrid,0,1,A,11,12,4,7,17,11,1,8,3,3,1,0,Ath Madrid,Getafe
Сезон 14/15,Sevilla,Villarreal,2,1,H,8,11,4,4,19,15,3,2,3,4,0,0,Sevilla,Villarreal
Сезон 14/15,Barcelona,Celta,0,1,A,19,10,9,4,10,29,9,5,1,2,0,0,Celta,Barcelona
Сезон 14/15,Granada,Real Madrid,0,4,A,11,18,5,8,19,9,3,4,1,2,0,0,Real Madrid,Granada
Сезон 14/15,Ath Bilbao,Sevilla,1,0,H,9,4,2,1,24,11,4,8,4,3,0,0,Ath Bilbao,Sevilla
Сезон 14/15,Villarreal,Valencia,1,3,A,14,6,4,3,12,15,11,4,2,3,0,0,Valencia,Villarreal
Сезон 14/15,Celta,Granada,0,0,D,17,8,5,1,14,17,6,2,1,5,0,0,Ничья,Ничья
Сезон 14/15,Espanol,Villarreal,1,1,D,11,9,4,5,16,25,6,7,3,3,0,0,Ничья,Ничья
Сезон 14/15,Sevilla,Levante,1,1,D,15,16,6,5,13,10,6,5,2,6,0,0,Ничья,Ничья
Сезон 14/15,Sociedad,Ath Madrid,2,1,H,11,4,5,2,17,17,2,1,2,6,0,1,Sociedad,Ath Madrid
Сезон 14/15,Valencia,Ath Bilbao,0,0,D,8,4,1,1,13,17,2,4,0,2,0,0,Ничья,Ничья
Сезон 14/15,Ath Bilbao,Espanol,3,1,H,9,8,5,3,15,18,5,3,0,5,0,0,Ath Bilbao,Espanol
Сезон 14/15,Barcelona,Sevilla,5,1,H,16,2,10,0,8,21,5,4,1,2,0,0,Barcelona,Sevilla
Сезон 14/15,Eibar,Real Madrid,0,4,A,10,19,2,8,16,9,4,2,4,2,0,0,Real Madrid,Eibar
Сезон 14/15,Levante,Valencia,2,1,H,10,17,5,6,20,18,4,5,2,1,0,0,Levante,Valencia
Сезон 14/15,Villarreal,Getafe,2,1,H,10,15,4,5,15,14,7,4,3,2,0,0,Villarreal,Getafe
Сезон 14/15,Celta,Eibar,0,1,A,29,8,9,2,10,21,15,1,4,5,0,0,Eibar,Celta
Сезон 14/15,Espanol,Levante,2,1,H,10,16,4,3,21,10,5,6,2,3,0,0,Espanol,Levante
Сезон 14/15,Getafe,Ath Bilbao,1,2,A,14,8,7,3,12,15,2,4,7,5,0,0,Ath Bilbao,Getafe
Сезон 14/15,Sevilla,Granada,5,1,H,13,9,8,4,18,20,7,4,1,2,0,0,Sevilla,Granada
Сезон 14/15,Valencia,Barcelona,0,1,A,12,7,4,1,9,7,5,5,3,3,0,0,Barcelona,Valencia
Сезон 14/15,Real Madrid,Celta,3,0,H,20,9,11,0,15,21,8,7,4,4,0,0,Real Madrid,Celta
Сезон 14/15,Barcelona,Espanol,5,1,H,15,3,7,2,6,11,5,2,0,4,0,0,Barcelona,Espanol
Сезон 14/15,Granada,Valencia,1,1,D,9,9,2,1,20,9,4,4,4,4,0,1,Ничья,Ничья
Сезон 14/15,Villarreal,Sociedad,4,0,H,24,12,9,2,14,8,8,2,2,2,0,0,Villarreal,Sociedad
Сезон 14/15,Levante,Getafe,1,1,D,16,5,3,1,14,17,4,0,3,4,0,0,Ничья,Ничья
